Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"As a admin, admin should able to enter amount ",UGV-11,10044,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 11:05 AM,07/Sep/21 5:59 AM,06/Sep/21 11:49 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:y,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to write message",UGV-10,10043,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:54 AM,07/Sep/21 5:59 AM,06/Sep/21 11:34 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:x,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to select the theme ",UGV-9,10042,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:41 AM,07/Sep/21 5:59 AM,06/Sep/21 11:34 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:v,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to write recevier  email",UGV-8,10041,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:23 AM,07/Sep/21 5:59 AM,06/Sep/21 11:33 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:r,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to write receiver name ",UGV-7,10040,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:07 AM,07/Sep/21 5:59 AM,06/Sep/21 11:33 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:i,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to write his email",UGV-6,10039,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 9:46 AM,07/Sep/21 5:59 AM,06/Sep/21 11:33 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin ,admin should able to  write his name ",UGV-5,10038,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 9:18 AM,07/Sep/21 5:59 AM,06/Sep/21 11:33 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i00079:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin ,admin is able to write code ",UGV-4,10037,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 8:46 AM,07/Sep/21 5:59 AM,07/Sep/21 5:17 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i00077:,,UGV Sprint 1,,,,,,,,,,Done
"Admin can select,create and delete the voucher theme",UGV-3,10036,,Story,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 7:40 AM,07/Sep/21 6:54 AM,08/Sep/21 6:01 AM,07/Sep/21 6:54 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-1,,,,,,,,,{},,,,,,,0|i0007b:,,UGV Sprint 1,,,,,,,,,,Done
Admin can add and send the voucher to the user ,UGV-2,10035,,Story,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 7:38 AM,08/Sep/21 5:24 AM,08/Sep/21 6:01 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,UGV-19,,,,,,,,,,{},,,,,,,0|i00073:,,UGV Sprint 1,,,,,,,,,,Done
